"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","267","test_get_non_existent_post","tests","2026-09-06","passed","2026-09-06","","JSONPlaceholder_test","",""
"","69","test_get_one","tests","2026-09-06","passed","2026-09-06","","JSONPlaceholder_test","",""
"","133","test_patch","tests","2026-09-06","passed","2026-09-06","","JSONPlaceholder_test","",""
"","125","test_post","tests","2026-09-06","passed","2026-09-06","","JSONPlaceholder_test","",""
"","127","test_delete","tests","2026-09-06","passed","2026-09-06","","JSONPlaceholder_test","",""
"","132","test_get_all","tests","2026-09-06","passed","2026-09-06","","JSONPlaceholder_test","",""
"","273","test_put","tests","2026-09-06","passed","2026-09-06","","JSONPlaceholder_test","",""
