"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","56","test_get_non_existent_post","tests","2026-09-06","passed","2026-09-06","","JSONPlaceholder_test","",""
"","43","test_delete","tests","2026-09-06","passed","2026-09-06","","JSONPlaceholder_test","",""
"","43","test_post","tests","2026-09-06","passed","2026-09-06","","JSONPlaceholder_test","",""
"","43","test_patch","tests","2026-09-06","passed","2026-09-06","","JSONPlaceholder_test","",""
"","62","test_put","tests","2026-09-06","passed","2026-09-06","","JSONPlaceholder_test","",""
"","41","test_get_one","tests","2026-09-06","passed","2026-09-06","","JSONPlaceholder_test","",""
"","45","test_get_all","tests","2026-09-06","passed","2026-09-06","","JSONPlaceholder_test","",""
