"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","134","test_post","tests","2026-09-06","passed","2026-09-06","","JSONPlaceholder_test","",""
"","67","test_get_non_existent_post","tests","2026-09-06","passed","2026-09-06","","JSONPlaceholder_test","",""
"","61","test_get_one","tests","2026-09-06","passed","2026-09-06","","JSONPlaceholder_test","",""
"","277","test_put","tests","2026-09-06","passed","2026-09-06","","JSONPlaceholder_test","",""
"","131","test_get_all","tests","2026-09-06","passed","2026-09-06","","JSONPlaceholder_test","",""
"","133","test_patch","tests","2026-09-06","passed","2026-09-06","","JSONPlaceholder_test","",""
"","135","test_delete","tests","2026-09-06","passed","2026-09-06","","JSONPlaceholder_test","",""
