"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","64","test_get_all","tests","2026-09-06","passed","2026-09-06","","JSONPlaceholder_test","",""
"","143","test_post","tests","2026-09-06","passed","2026-09-06","","JSONPlaceholder_test","",""
"","87","test_get_non_existent_post","tests","2026-09-06","passed","2026-09-06","","JSONPlaceholder_test","",""
"","59","test_delete","tests","2026-09-06","passed","2026-09-06","","JSONPlaceholder_test","",""
"","111","test_patch","tests","2026-09-06","passed","2026-09-06","","JSONPlaceholder_test","",""
"","39","test_get_one","tests","2026-09-06","passed","2026-09-06","","JSONPlaceholder_test","",""
"","110","test_put","tests","2026-09-06","passed","2026-09-06","","JSONPlaceholder_test","",""
